iteration,objective,volume,beta
1,339.58536833308597,0.45016600268752216,1.0
2,339.5977511466924,0.45016039321289203,1.0
3,339.72156000188426,0.45010432228793174,1.0
4,341.50183879174926,0.44930107918337253,1.0
5,343.29334804383626,0.44849836119665126,1.0
6,368.8778905547514,0.4376129447784928,1.0
7,396.7556757011215,0.42683818096320847,1.0
8,427.1148967574174,0.41619201787354326,1.0
9,460.1546440029867,0.40569120669446984,1.0
10,496.08484281697497,0.39535118442355155,1.0
11,535.1260899183995,0.38518598365410783,1.0
12,535.1260899183995,0.38518598365410783,1.0
13,1034.216412271657,0.3067284042217418,1.0
14,1034.216412271657,0.3067284042217418,1.0
15,1034.216412271657,0.3067284042217418,1.0
16,1531.2322761911178,0.2689414213699951,1.0
17,1531.2322761911178,0.2689414213699951,1.0
18,1531.2322761911178,0.2689414213699951,1.0
19,1531.2322761911178,0.2689414213699951,1.0
20,1531.2322761911178,0.2689414213699951,1.0
21,1531.2322761911178,0.2689414213699951,1.0
